productName,price
Nike Girls' Preschool Flex Experience 3 Running Shoe,51.99
Brooks Boys' Grade School PureFlow 3 Running Shoe,69.99
Brooks Girls' Grade School PureFlow 3 Running Shoe,70.00
Nike Girls' Grade School Free Express Running Shoe,84.99
Under Armour Boys' Grade School Micro G Scorpio Running Shoe,99.99
Under Armour Girls' Preschool Escape Run Running Shoe,44.99
Under Armour Girls' Grade School Escape Run Running Shoe,44.99
Under Armour Boys' Preschool Escape Run Running Shoe,44.99
Under Armour Boys' Grade School Escape Run Running Shoe,44.99
Under Armour Boys' Toddler Spine EVO Running Shoe,34.99
Under Armour Girls' Preschool Spine EVO Running Shoe,49.99
Under Armour Boys' Preschool Spine EVO Running Shoe,59.99
Nike Girls' Grade School Dual Fusion Run 3 Running Shoe,74.99
Nike Girls' Grade School LunarGlide 6 Flash Running Shoe,99.99
Nike Girls' Grade School Zoom Pegasus 31 Running Shoe,84.99
Nike Girls' Grade School Free 5.0 Running Shoe,89.99
Nike Boys' Grade School Free 5.0 Running Shoe,89.99
Nike Boys' Grade School LunarGlide 6 Flash Running Shoe,99.99
Nike Boys' Grade School Dual Fusion Run 3 Running Shoe,74.99
Nike Boys' Grade School Air Max 2014 Running Shoe,144.99
Nike Girls' Preschool Downshifter 6 Running Shoe,54.99
Nike Girls' Grade School Downshifter 6 Running Shoe,54.99
Nike Girls' Toddler Downshifter 6 Running Shoe,43.99
Nike Boys' Toddler Downshifter 6 Running Shoe,43.99
Nike Boys' Grade School Downshifter 6 Running Shoe,54.99
Nike Boys' Grade School Zoom Pegasus 31 Running Shoe,79.99
Nike Girls' Grade School LunarGlide 6 Running Shoe,94.99
Nike Boys' Grade School LunarGlide 6 Running Shoe,99.99
Nike Boys' Toddler Dual Fusion Run 3 Running Shoe,43.99
Nike Boys' Preschool Dual Fusion Run 3 Running Shoe,54.99
Nike Girls' Toddler Dual Fusion Run 3 Running Shoe,43.99
Nike Girls' Preschool Dual Fusion Run 3 Running Shoe,54.99
Nike Girls' Toddler Flex Supreme TR 3 Training Shoe,43.99
Nike Girls' Grade School Flex Supreme TR 3 Training Shoe,61.99
Nike Boys' Toddler Flex Supreme TR 3 Training Shoe,43.99
Nike Boys' Grade School Flex Supreme TR 3 Training Shoe,61.99
Nike Boys' Toddler Flex Experience 3 Running Shoe,41.99
Nike Boys' Preschool Flex Experience 3 Running Shoe,51.99
Nike Boys' Grade School Flex Experience 3 Running Shoe,61.99
Nike Girls' Toddler Flex Experience 3 Running Shoe,41.99
Nike Girls' Grade School Flex Experience 3 Running Shoe,61.99
Nike Boys' Grade School Flex Supreme TR 3 Wide Training Shoe,61.99
Nike Girls' Preschool Free 5.0 Running Shoe,61.99
Nike Girls' Toddler Free 5.0 Running Shoe,47.99
Nike Boys' Preschool Free 5.0 Running Shoe,61.99
Nike Boys' Toddler Free 5.0 Running Shoe,47.99
Nike Boys' Toddler Flex Run 2014 Running Shoe,43.99
Nike Boys' Preschool Flex Run 2014 Running Shoe,54.99
Nike Boys' Grade School Flex Run 2014 Running Shoe,69.99
Nike Girls' Toddler Flex Run 2014 Running Shoe,43.99
Nike Girls' Preschool Flex Run 2014 Running Shoe,54.99
Nike Girls' Grade School Flex Run 2014 Running Shoe,69.99
Nike Girls' Preschool Free Express Running Shoe,61.99
Nike Girls' Grade School Air Max 2014 Running Shoe,144.99
Nike Girls' Toddler Revolution 2 Running Shoe,41.99
ASICS Boys' Preschool GEL-Contend 2 Running Shoe,44.99
ASICS Girls' Preschool GEL-Contend 2 Running Shoe,44.99
ASICS Boys' Grade School GEL-Contend 2 Running Shoe,49.99
ASICS Girls' Grade School GEL-Contend 2 Running Shoe,49.99
ASICS Boys' Grade School GEL-Nimbus 16 Running Shoe,79.99
ASICS Girls' Grade School GEL-Nimbus 16 Running Shoe,79.99
ASICS Girls' Grade School GEL-Noosa Tri 9 Running Shoe,74.99
Under Armour Boys' Preschool Micro G Engage Running Shoe,49.99
Under Armour Girls' Toddler Micro G Engage Running Shoe,34.99
Under Armour Boys' Toddler Micro G Engage Running Shoe,34.99
Under Armour Girls' Toddler Spine Surge Running Shoe,39.99
Under Armour Boys' Toddler Spine Surge AC Running Shoe,39.99
