productName,price
Jordan AJ Future - Men's,149.99
Nike ACG Air Max Goadome - Men's,159.99
Nike Air Max 2014 - Men's,119.99
Nike Free 4.0 Flyknit - Men's,119.99
Nike Lebron 12 - Men's,199.99
Nike Romaleos II Power Lifting - Men's,189.99
adidas Adipower Weightlift - Men's,199.99
Jordan AJ XX9 - Men's,224.99
Jordan Super.Fly 3 - Men's,139.99
Nfinity Vengeance - Women's,89.99
Nike ACG Manoa - Men's,89.99
Nike Fingertrap Max Free - Men's,99.99
Nike Free 4.0 Flyknit - Women's,119.99
Nike Free 5.0 2014 - Men's,99.99
Nike Free 5.0 2014 - Women's,99.99
Nike Hyperdunk 2014 - Men's,114.99
Nike Kobe IX EM - Men's,159.99
Nike Kobe IX High - Men's,224.99
Nike Roshe Run - Men's,74.99
Nike Zoom Soldier VIII - Men's,99.99
adidas D Rose 5 Boost - Men's,139.99
Jordan CP3.VIII - Men's,129.99
Nfinity Evolution - Women's,79.99
Nike ACG Woodside II - Men's,119.99
Nike Air Force 1 Low - Men's,89.99
Nike Air Max 90 - Men's,119.99
Nike Air Max LTD - Men's,99.99
Nike Air Max Plus - Men's,119.99
Nike Inflict - Men's,69.99
Nike KD 7 - Men's,149.99
Nike Roshe Run - Women's,74.99
"Timberland 6"" Premium Waterproof Boots - Men's",179.99
Under Armour Clutchfit Drive - Men's,124.99
adidas Originals ZX Flux - Men's,89.99
Jordan AJ1 Mid - Men's,104.99
Jordan Flight Time 14.5 - Men's,89.99
Jordan Melo M10 - Men's,99.99
Mizuno Wave Prophecy 4 - Men's,209.99
Nike ACG Air Max Goaterra  - Men's,109.99
Nike Air Max 2014 - Women's,119.99
Nike Air Max 95 - Men's,159.99
Nike Air Max LeBron 11 Low - Men's,129.99
Nike KD Trey 5 - Men's,109.99
Nike Zoom Hyperfuse 2014 - Men's,99.99
"Timberland 6"" Premium Waterproof Boots - Boys' Grade School",109.99
adidas adiZero LJ 2 - Men's,109.99
adidas Crazy Light Boost - Men's,109.99
adidas Powerlift Trainer 2 - Men's,89.99
Jordan 1 Flight 2 - Men's,89.99
Jordan Flight 9.5 - Men's,89.99
Mizuno Wave Lightning RX 3 - Women's,109.99
Nike Air Max 90 - Women's,119.99
Nike Air Max 90 Sneakerboot - Men's,179.99
Nike Air Max Penny - Men's,139.99
Nike Lebron XII NSW Lifestyle - Men's,129.99
Nike Lunar Hyperquickness - Men's,89.99
Nike Shox Deliver - Men's,99.99
Nike Zoom Superfly R4 - Men's,119.99
adidas adiZero TJ 2 - Men's,109.99
adidas Springblade Drive - Men's,129.99
Jordan Flight 97 - Men's,109.99
Jordan Spizike - Men's,174.99
Jordan Super.Fly II PO - Men's,89.99
Jordan True Flight - Men's,119.99
Mizuno Wave Prophecy 4 - Women's,209.99
Nike Hyperdunk 2014 - Boys' Grade School,124.99
adidas Pure Boost - Men's,99.99
ASICS® Gel - Kayano 20 - Men's,99.99
Jordan Flight Flex Trainer - Men's,99.99
Nike Air Command Force - Men's,199.99
Nike Flyknit Lunar 2 - Men's,119.99
Nike KD 7 - Boys' Grade School,114.99
Nike Kobe Venomenon - Men's,99.99
Nike Shox NZ - Women's,124.99
Nike Air Max Wright  - Men's,99.99
Nike Free 3.0 Flyknit - Men's,109.99
Nike Free Trainer 5.0 - Men's,89.99
Nike Kobe IX - Boys' Grade School,89.99
Nike Lil' Penny Posite - Men's,119.99
Nike Stutter Step 2 - Men's,74.99
adidas adiZero Prime Finesse - Men's,109.99
adidas adiZero Prime SP - Men's,211.99
ASICS® Dan Gable Ultimate 3 - Men's,109.99
Jordan AJ XX8 SE - Men's,99.99
Nike Air Force 1 Mid - Men's,94.99
Nike Free 5.0 V4 - Women's,89.99
ASICS® Aggressor 2 LE - Men's,104.99
ASICS® Gel - Kayano 20 - Women's,99.99
Jordan AJ Future - Girls' Grade School,119.99
Jordan CP3.VII AE - Men's,89.99
New Balance 4040v2 Turf - Men's,74.99
Nike ACG Hoodland - Men's,74.99
Nike Air Ring Leader Low - Men's,54.99
Nike LunarGlide 6 - Men's,109.99
Nike Takedown - Men's,54.99
Nike Zoom Run The One - Men's,99.99
Strength Training Shoe - Men's,69.99
adidas D Rose 773 III - Men's,89.99
adidas J Wall - Men's,114.99
Jordan Jumpman Team 1 - Men's,99.99
Jordan Prime.Fly Tech - Men's,99.99
Nike Air Max 93 - Men's,79.99
Nike Hyperdunk 2014 - Women's,114.99
Nike Shox Superfly R4 - Men's,129.99
Reebok CrossFit Nano 4.0 - Men's,99.99
Under Armour Anatomix Spawn Low - Men's,74.99
Under Armour Clutchfit Drive Highlight - Men's,149.99
adidas adiZero Discus/Hammer 2 - Men's,109.99
adidas adiZero Prime Accelerator - Men's,109.99
adidas Crazy Strike - Men's,74.99
Jordan Flight 9.5 - Boys' Grade School,89.99
Jordan Melo 1.5 - Men's,89.99
Jordan SC-3 - Men's,74.99
Jordan Super.Fly II PO - Boys' Grade School,79.99
Mizuno Wave Prophecy 3 - Men's,99.99
Nike ACG Air Nevist 6 - Men's,109.99
Nike Air Flightposite - Men's,139.99
Nike Benassi Swoosh Slide - Men's,19.99
Nike Free 3.0 V5 Ext - Women's,109.99
Under Armour Scorpio - Men's,124.99
Jordan AJ Future - Boys' Grade School,119.99
Nike Air Tech Challenge II - Men's,99.99
Nike Lunar TR1 - Men's,89.99
Under Armour Anatomix Spawn 2 - Men's,89.99
adidas Varner adiZero - Men's,109.99
ASICS® Aggressor 2 LE Legends - Men's,149.99
ASICS® Matflex 4 - Men's,49.99
Nike Chuck Posite - Men's,229.99
Nike Free 5.0 2014 Flash - Men's,91.99
Nike Lebron 12 - Boys' Grade School,159.99
Nike Soldier VIII - Boys' Grade School,99.99
adidas Originals Superstar 2 - Men's,59.99
ASICS® Aggressor 2 - Men's,104.99
ASICS® Gel - Kayano 21 Lite Show - Women's,169.99
Nike Flex Run 2014 - Men's,79.99
Nike Prime Hype DF - Men's,84.99
Nike Speedsweep VII - Boys' Grade School,34.99
Nike Zoom Ja Fly - Men's,124.99
Reebok Blast - Men's,89.99
ASICS® Gel - Kinsei 5 - Men's,139.99
Jordan CP3.VII - Men's,89.99
Jordan Flight 45 V - Men's,79.99
Nike Air Diamond Trainer  - Men's,47.99
Nike Air Foamposite Pro - Men's,249.99
Nike Cortez - Men's,64.99
Nike Dunk Sky Hi - Women's,89.99
Nike LunarGlide 6 - Women's,109.99
Under Armour Speedform Apollo - Men's,79.99
Vans Authentic - Men's,44.99
adidas Crazy 8 - Men's,109.99
ASICS® Omniflex-Attack - Men's,144.99
Jordan Flight 45 - Girls' Grade School,89.99
Jordan Hydro 3 - Men's,37.99
Jordan Hydro Retro 6 - Men's,51.99
Mizuno Wave Prophecy 3 - Women's,99.99
New Balance 4040v2 Metal Low - Men's,94.99
Nike Field Generals Trainer - Men's,99.99
Nike Free OG Breeze - Men's,59.99
Nike Shox NZ - Men's,99.99
Converse All Star Ox - Men's,39.99
Jordan Hydro Retro 13 - Men's,51.99
New Balance 574 - Men's,74.99
Nike Air Visi Pro V - Women's,59.99
Nike Flyknit Lunar 2 - Women's,109.99
Nike Flystepper 2K3 - Men's,94.99
Nike Lunar Force 1 Hi Sneakerboot - Men's,154.99
Nike Zoom Rival S 7 - Men's,64.99
adidas Copa Mundial - Men's,134.99
ASICS® Gel - Nimbus 15 - Women's,89.99
ASICS® Gel-Rocket 7 - Women's,49.99
Jordan AJ 1 '99 - Men's,129.99
Jordan Flight 45 - Men's,79.99
Nike Air Zoom Turf - Men's,89.99
Nike Vapor Carbon 2014 Elite TD - Men's,129.99
ASICS® Gel - Nimbus 15 - Men's,89.99
Nfinity Defiance - Women's,99.99
Nfinity IL 12T - Women's,139.99
Nike Air Pegasus 31 - Men's,99.99
Nike Dual Fusion Run 3 - Men's,69.99
Nike Free OG Breeze - Women's,69.99
Nike KD VI - Men's,129.99
Nike Lunar MVP Pregame 2 - Men's,67.99
Nike Zoom Vomero 9 - Men's,129.99
Jordan Super.Fly 3 - Boys' Grade School,114.99
New Balance 1000v2 Trainer,79.99
Nike Air Max 97 2013 HYP - Men's,89.99
Nike Free 5.0 TR Fit 4 - Women's,89.99
Nike Free Flyknit Chukka - Men's,159.99
Nike FS Lite Run 2 - Men's,69.99
Nike Shox Vaeda - Women's,119.99
Nike Zoom Victory 2 - Men's,119.99
Timberland Teddy Fleece Fold Down Boots - Women's,129.99
ASICS® JB Elite - Men's,79.99
Jordan Future Flight Remix - Men's,159.99
Nike Air Griffey Max 1 - Men's,109.99
Nike Lunar Force 1 - Men's,89.99
adidas adiZero HJ FL - Men's,109.99
Jordan AJ 1 Low - Men's,94.99
Jordan AJ V.2 Low - Men's,89.99
Jordan Flight Origin - Boys' Grade School,84.99
Nike Air Max 90 Breeze - Men's,79.99
Nike CJ Elite 2 TD - Men's,129.99
Nike Hyper Quickness - Boys' Grade School,69.99
Nike Zoom Soldier VII - Men's,99.99
"Timberland 6"" Premium Waterproof Boots - Boys' Toddler",74.99
ASICS® Gel - Kinsei 5 - Women's,139.99
Jordan Hydro XIV Retro - Men's,51.99
Nike Air Speed Turf - Boys' Grade School,77.99
Nike Air Tech Challenge 2 - Boys' Grade School,69.99
Nike Max LeBron 11 - Boys' Grade School,109.99
Nike Zoom Speed TR 2 - Men's,79.99
Nike Air Max Tailwind 7 - Men's,109.99
Nike Air Mission - Men's,69.99
Nike Dual Fusion Run 2 - Women's,59.99
Nike Zoom Rival S 7 - Women's,64.99
Reebok CrossFit Lite TR - Men's,89.99
ASICS® Gel - Kayano 21 - Men's,159.99
New Balance 574 - Boys' Grade School,54.99
Nike Air Trainer SC High - Men's,129.99
Nike Free 5.0 2014 Flash - Women's,91.99
Nike Huarache 4 Lacrosse Turf - Men's,71.99
Nike KD 7 - Boys' Preschool,74.99
Nike Lebron 12 - Boys' Preschool,89.99
Reebok CrossFit Nano 4.0 - Women's,99.99
adidas Powerlift Trainer 2 - Women's,89.99
ASICS® Gel - Kayano 21 - Women's,159.99
Jordan Flight Runner - Men's,89.99
Nike Air Tech Challenge Hybrid - Men's,69.99
Nike Air Visi Pro V - Men's,59.99
Nike Zoom Structure 18 - Men's,119.99
