dicksName,eastbayName,dicksPrice,eastbayPrice
Nike Men's Air Max 2014 Running Shoe,Nike Air Max 2014 - Men's,179.99,179.99
Nike Men's Free 4.0 Flyknit Running Shoe,Nike Free 4.0 Flyknit - Men's,119.99,119.99
adidas Men's adiPower Weightlift Training Shoe,adidas Adipower Weightlift - Men's,199.99,199.99
Nike Women's Free 4.0 Flyknit Running Shoe,Nike Free 4.0 Flyknit - Women's,119.99,119.99
Jordan Men's Flight Time 14.5 Basketball Shoes,Jordan Flight Time 14.5 - Men's,129.99,129.99
Mizuno Men's Wave Prophecy 3 Running Shoe,Mizuno Wave Prophecy 4 - Men's,79.99,209.99
Nike Women's Air Max 2014 Running Shoe,Nike Air Max 2014 - Women's,179.99,179.99
Nike Men's Zoom Hyperfuse 2014 Basketball Shoes,Nike Zoom Hyperfuse 2014 - Men's,124.99,124.99
Jordan Men's Flight Flex Trainer Training Shoes,Jordan Flight Flex Trainer - Men's,99.99,99.99
Nike Men's Free 3.0 Flyknit Running Shoe,Nike Free 3.0 Flyknit - Men's,139.99,139.99
Nike Men's Free Trainer 5.0 Training Shoe,Nike Free Trainer 5.0 - Men's,99.99,99.99
ASICS Men's Dan Gable Ultimate 3 Wrestling Shoe,ASICS® Dan Gable Ultimate 3 - Men's,109.99,139.99
ASICS Men's Aggressor 2 LE Wrestling Shoe,ASICS® Aggressor 2 LE - Men's,119.99,129.99
Nike Men's LunarGlide 6 Running Shoe,Nike LunarGlide 6 - Men's,109.99,109.99
Nike Women's Hyperdunk 2014 Basketball Shoe,Nike Hyperdunk 2014 - Women's,119.98,139.99
Nike Men's Shox Superfly R4 Fashion Sneaker,Nike Shox Superfly R4 - Men's,144.99,144.99
Reebok Men's CrossFit Nano 4.0 Training Shoe,Reebok CrossFit Nano 4.0 - Men's,119.99,119.99
Mizuno Men's Wave Prophecy 3 Running Shoe,Mizuno Wave Prophecy 3 - Men's,79.99,209.99
Nike Men's Benassi Swoosh Slide,Nike Benassi Swoosh Slide - Men's,21.99,21.99
adidas Men's adizero Varner Wrestling Shoe,adidas Varner adiZero - Men's,109.99,119.99
Nike Men's Flex Run 2014 Running Shoe,Nike Flex Run 2014 - Men's,79.99,79.99
Nike Women's LunarGlide 6 Running Shoe,Nike LunarGlide 6 - Women's,109.99,109.99
Under Armour Men's SpeedForm Apollo Running Shoe,Under Armour Speedform Apollo - Men's,99.99,99.99
ASICS Men's Omniflex-Attack Wrestling Shoe,ASICS® Omniflex-Attack - Men's,144.99,159.99
Jordan Men's Hydro 3 Slide,Jordan Hydro 3 - Men's,47.99,47.99
Jordan Men's Hydro VI Retro Slide,Jordan Hydro Retro 6 - Men's,51.99,51.99
Nike Women's Air Visi Pro V Basketball Shoe,Nike Air Visi Pro V - Women's,59.98,69.99
adidas Men's Copa Mundial Soccer Cleat,adidas Copa Mundial - Men's,134.99,149.99
Nike Men's Dual Fusion Run 3 Running Shoe,Nike Dual Fusion Run 3 - Men's,69.98,79.99
Nike Men's Lunar MVP Pregame 2 Baseball Shoe,Nike Lunar MVP Pregame 2 - Men's,84.99,84.99
Nike Men's Zoom Vomero+ 9 Running Shoe,Nike Zoom Vomero 9 - Men's,129.99,129.99
Nike Women's Free 5.0 TR FIT 4 Training Shoe,Nike Free 5.0 TR Fit 4 - Women's,99.99,99.99
Nike Men's FS Lite Run 2 Running Shoe,Nike FS Lite Run 2 - Men's,74.99,74.99
Nike Men's Zoom Speed 2 TR Training Shoe,Nike Zoom Speed TR 2 - Men's,79.98,89.99
Nike Women's Dual Fusion Run 3 Running Shoe,Nike Dual Fusion Run 2 - Women's,59.98,79.99
Reebok Men's CrossFit Lite TR Training Shoe,Reebok CrossFit Lite TR - Men's,89.99,89.99
ASICS Men's GEL-Kayano 21 4E Running Shoe,ASICS® Gel - Kayano 21 - Men's,159.99,159.99
Nike Men's Huarache 4 Lax Turf Lacrosse Shoe,Nike Huarache 4 Lacrosse Turf - Men's,89.99,89.99
